Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Total PIs Reduced,Pre-Reduction Inputs per AG,Post-Reduction Inputs per AG,Average PIs Reduced,Final PIs,Final POs,Final Nodes Leaking,Total Groups,Average Leakage Depth
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,6.875000,681,245,7607,14,0,0,0.000000,0,0.000000,0.000000,0.000000,681,245,0,761,0.000000
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,30.968750,817,245,9715,55,13,13,0.031250,3,1.384615,1.153846,0.230769,817,258,0,972,3.076923
./probing_benchmarks/b14/SFLL/b14_SFLL_277_gate_level_final.v.benchfix,4.281250,554,245,7742,11,2,2,0.015625,0,2.000000,2.000000,0.000000,554,247,0,775,3.000000
./probing_benchmarks/b14/SLL/b14_SLL.bench,4.750000,533,245,7395,43,30,30,1.171875,28,11.933333,11.000000,0.933333,533,275,0,740,17.633333
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,0.343750,111,25,803,7,0,0,0.000000,0,0.000000,0.000000,0.000000,111,25,0,81,0.000000
./probing_benchmarks/c1908/Full-Lock/c1908_locked_32_32_gate_level_final.v.bench,5.156250,417,25,2501,61,28,28,0.062500,10,1.571429,1.214286,0.357143,417,53,0,251,3.357143
./probing_benchmarks/c1908/SFLL/c1908_33_gate_level_final.v.bench,0.343750,66,25,1029,14,5,5,0.109375,5,5.000000,4.000000,1.000000,66,30,0,103,6.000000
./probing_benchmarks/c1908/SLL/c1908_SLL.bench,0.609375,121,25,654,46,11,11,0.062500,7,2.181818,1.545455,0.636364,121,36,0,66,3.636364
./probing_benchmarks/c5315/AntiSAT/c5315_BA16_gate_level_final.v.bench,1.015625,334,123,2401,57,9,9,0.031250,9,2.000000,1.000000,1.000000,334,132,0,241,3.111111
./probing_benchmarks/c5315/Full-Lock/c5315_locked_40_40_gate_level_final.v.bench,10.593750,718,123,5129,101,11,11,0.031250,0,1.454545,1.454545,0.000000,718,134,0,513,4.181818
./probing_benchmarks/c5315/SFLL/c5315_SFLL_178_gate_level_final.v.bench,0.328125,356,123,810,9,0,0,0.000000,0,0.000000,0.000000,0.000000,356,123,0,81,0.000000
./probing_benchmarks/c5315/SLL/c5315_SLL.bench,2.515625,409,123,2975,271,169,169,0.906250,170,2.662722,1.656805,1.005917,409,292,0,298,4.615385
./probing_benchmarks/des/AntiSAT/des_BA16_gate_level_final.v.bench,1.656250,624,245,5734,0,0,0,0.000000,0,0.000000,0.000000,0.000000,624,245,0,574,0.000000
./probing_benchmarks/des/Full-Lock/des_locked_40_40_gate_level_final.v.bench,10.593750,796,245,7794,110,76,76,2.890625,151,8.894737,6.907895,1.986842,796,321,0,780,8.263158
./probing_benchmarks/des/SFLL/des_SFLL_256_gate_level_final.v.benchfix,1.390625,512,245,5813,6,0,0,0.000000,0,0.000000,0.000000,0.000000,512,245,0,582,0.000000
./probing_benchmarks/des/SLL/des_SLL.bench,8.187500,512,245,6341,707,565,565,12.750000,1200,5.943363,3.819469,2.123894,512,810,0,635,6.307965
