Benchmark Path,Scan Time (seconds),PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Final PIs,Final POs
./probing_benchmarks/b14/AntiSAT/alg1_2gateres.bench,12.796875,585,245,10345,1469,252,252,0.15625,585,497
./probing_benchmarks/b14/AntiSAT/alg1_post.bench,10.765625,578,245,10108,1173,201,201,0.125,578,446
./probing_benchmarks/b14/AntiSAT/alg2_2gateres.bench,13.21875,585,245,10510,1543,238,238,0.140625,585,483
./probing_benchmarks/b14/AntiSAT/alg2_post.bench,12.859375,578,245,10332,1313,213,213,0.140625,578,458
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,7.34375,681,245,7607,542,191,191,0.078125,681,436
./probing_benchmarks/b14/Full-Lock/alg1_2gateres.bench,32.8125,777,245,12664,1602,492,492,0.21875,777,737
./probing_benchmarks/b14/Full-Lock/alg2_2gateres.bench,30.96875,777,245,12664,1602,492,492,0.203125,777,737
./probing_benchmarks/b14/Full-Lock/b14_alg1.bench,27.421875,757,245,12164,1402,372,372,0.140625,757,617
./probing_benchmarks/b14/Full-Lock/b14_alg2.bench,27.515625,757,245,12164,1402,372,372,0.140625,757,617
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,16.625,817,245,9715,611,358,358,0.1875,817,603
./probing_benchmarks/b14/SLL/alg2_post.bench,3.265625,280,245,7590,2,1,1,0,280,246
./probing_benchmarks/b14/SLL/b14_SLL.bench,4.015625,533,245,7395,247,122,122,0.0625,533,367
./probing_benchmarks/c1908/AntiSAT/alg1_2gateres.bench,1.171875,78,25,1022,337,77,77,0,78,102
./probing_benchmarks/c1908/AntiSAT/alg1_post.bench,1.1875,78,25,1022,337,77,77,0,78,102
./probing_benchmarks/c1908/AntiSAT/alg2_2gateres.bench,1.15625,78,25,1022,337,77,77,0.015625,78,102
./probing_benchmarks/c1908/AntiSAT/alg2_post.bench,1.171875,78,25,1022,337,77,77,0,78,102
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,1.421875,111,25,803,277,55,55,0.015625,111,80
./probing_benchmarks/c1908/AntiSAT/c1908_BA16_gate_level_final.v.bench,0.40625,111,25,507,138,46,46,0.015625,111,71
./probing_benchmarks/c1908/Full-Lock/alg1_2gateres.bench,6.25,386,25,4641,1260,442,442,0.109375,386,467
./probing_benchmarks/c1908/Full-Lock/alg1_32wf.bench,5.078125,369,25,4222,1071,308,308,0.0625,369,333
./probing_benchmarks/c1908/Full-Lock/alg2_2gateres.bench,6.25,386,25,4641,1262,442,442,0.109375,386,467
./probing_benchmarks/c1908/Full-Lock/alg2_32wf.bench,5.140625,369,25,4222,1071,308,308,0.078125,369,333
./probing_benchmarks/c1908/Full-Lock/c1908_alg1.bench,7.375,513,25,5330,1386,351,351,0.09375,513,376
./probing_benchmarks/c1908/Full-Lock/c1908_locked_32_32_gate_level_final.v.bench,2.296875,417,25,2501,468,275,275,0.046875,417,300
./probing_benchmarks/c1908/Full-Lock/c1908_post_alg1.bench,7.15625,514,25,5220,1415,352,352,0.078125,514,377
./probing_benchmarks/c1908/SFLL/c1908_33_gate_level_final.v.bench,0.3125,66,25,1029,72,5,5,0,66,30
./probing_benchmarks/c1908/SLL/c1908_SLL.bench,0.796875,121,25,654,189,122,122,0.015625,121,147
./probing_benchmarks/c5315/AntiSAT/alg1_2gateres.bench,397.4375,214,123,3751,2281,1484,1484,0.609375,214,1607
./probing_benchmarks/c5315/AntiSAT/alg1_post.bench,119.234375,223,123,3217,1719,1291,1291,0.453125,223,1414
./probing_benchmarks/c5315/AntiSAT/alg2_2gateres.bench,92.796875,217,123,3231,1737,1379,1379,0.546875,217,1502
./probing_benchmarks/c5315/AntiSAT/alg2_post.bench,91.671875,214,123,3242,1759,1371,1371,0.515625,214,1494
./probing_benchmarks/c5315/AntiSAT/c5315_BA16_gate_level_final.v.bench,4.828125,334,123,2401,1094,762,762,0.171875,334,885
./probing_benchmarks/c5315/Full-Lock/alg2_2gateres.bench,9.765625,678,123,7734,1579,396,396,0.125,678,519
./probing_benchmarks/c5315/Full-Lock/c5315_alg1.bench,9.015625,658,123,7234,1407,278,278,0.125,658,401
./probing_benchmarks/c5315/Full-Lock/c5315_alg2.bench,10.734375,664,123,7378,1471,330,330,0.09375,664,453
./probing_benchmarks/c5315/Full-Lock/c5315_locked_40_40_gate_level_final.v.bench,5.109375,718,123,5129,624,330,330,0.078125,718,453
./probing_benchmarks/c5315/SFLL/c5315_SFLL_178_gate_level_final.v.bench,1.09375,356,123,810,408,171,171,0.03125,356,294
./probing_benchmarks/c5315/SLL/alg1_2gateres.bench,64.921875,216,123,3118,64,13,13,0,216,136
./probing_benchmarks/c5315/SLL/alg1_post.bench,92.15625,214,123,3126,66,19,19,0,214,142
./probing_benchmarks/c5315/SLL/alg2_2gateres.bench,72.078125,217,123,3160,66,17,17,0,217,140
./probing_benchmarks/c5315/SLL/alg2_post.bench,60.828125,215,123,3116,65,17,17,0,215,140
./probing_benchmarks/c5315/SLL/c5315_SLL.bench,5.703125,409,123,2975,1140,921,921,0.265625,409,1044
./probing_benchmarks/c5315/SLL/c5315_sll.bench,5.59375,409,123,2975,1140,921,921,0.265625,409,1044
./probing_benchmarks/des/AntiSAT/alg1_2gateres.bench,518.765625,463,245,9174,2952,1785,1785,0.96875,463,2030
./probing_benchmarks/des/AntiSAT/alg1_post.bench,686.46875,449,245,7871,1934,1291,1291,0.671875,449,1536
./probing_benchmarks/des/AntiSAT/alg2_2gateres.bench,578.21875,452,245,9975,2797,1741,1741,1.015625,452,1986
./probing_benchmarks/des/AntiSAT/alg2_post.bench,653.296875,441,245,10163,2592,1687,1687,1,441,1932
./probing_benchmarks/des/AntiSAT/des_BA16_gate_level_final.v.bench,2.375,624,245,5734,523,138,138,0.03125,624,383
./probing_benchmarks/des/Full-Lock/alg1_2gateres.bench,9.703125,756,245,10169,1573,514,514,0.25,756,759
./probing_benchmarks/des/Full-Lock/alg1_out.bench,8.15625,736,245,9669,1340,365,365,0.1875,736,610
./probing_benchmarks/des/Full-Lock/alg2_2gateres.bench,10.28125,756,245,10169,1573,514,514,0.296875,756,759
./probing_benchmarks/des/Full-Lock/alg2_out.bench,8.578125,736,245,9669,1340,365,365,0.1875,736,610
./probing_benchmarks/des/Full-Lock/des_locked_40_40_gate_level_final.v.bench,5.125,796,245,7794,598,339,339,0.265625,796,584
./probing_benchmarks/des/SLL/alg1_2gateres.bench,1.75,294,245,5969,50,16,16,0,294,261
./probing_benchmarks/des/SLL/alg1_post.bench,1.703125,295,245,5969,60,17,17,0.015625,295,262
./probing_benchmarks/des/SLL/alg2_2gateres.bench,1.640625,294,245,5969,50,16,16,0,294,261
./probing_benchmarks/des/SLL/alg2_post.bench,1.625,294,245,5969,50,16,16,0,294,261
./probing_benchmarks/des/SLL/des_SLL.bench,22.25,512,245,6341,3718,3365,3365,1.734375,512,3610
