Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Total PIs Reduced,Pre-Reduction Inputs per AG,Post-Reduction Inputs per AG,Average PIs Reduced,Final PIs,Final POs,Final Nodes Leaking
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,6.062500,681,245,7607,464,128,128,1.140625,80,2.265625,1.640625,0.625000,681,373,0
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,16.953125,817,245,9715,481,236,236,1.296875,23,2.220339,2.122881,0.097458,817,481,0
./probing_benchmarks/b14/SFLL/b14_SFLL_277_gate_level_final.v.benchfix,4.359375,554,245,7742,542,139,139,0.734375,8,2.093525,2.035971,0.057554,554,384,0
./probing_benchmarks/b14/SLL/b14_SLL.bench,4.046875,533,245,7395,216,92,92,5.406250,34,13.119565,12.750000,0.369565,533,337,0
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,1.046875,111,25,803,207,35,35,0.359375,34,2.571429,1.600000,0.971429,111,60,0
./probing_benchmarks/c1908/Full-Lock/c1908_locked_32_32_gate_level_final.v.bench,2.515625,417,25,2501,375,189,189,1.093750,57,3.126984,2.825397,0.301587,417,214,0
./probing_benchmarks/c1908/SFLL/c1908_33_gate_level_final.v.bench,0.328125,66,25,1029,72,5,5,0.109375,5,5.000000,4.000000,1.000000,66,30,0
./probing_benchmarks/c1908/SLL/c1908_SLL.bench,0.765625,121,25,654,156,90,90,0.890625,109,3.122222,1.911111,1.211111,121,115,0
./probing_benchmarks/c5315/AntiSAT/c5315_BA16_gate_level_final.v.bench,3.765625,334,123,2401,777,481,481,3.718750,410,2.964657,2.112266,0.852391,334,604,0
./probing_benchmarks/c5315/Full-Lock/c5315_locked_40_40_gate_level_final.v.bench,4.968750,718,123,5129,506,219,219,0.812500,2,1.744292,1.735160,0.009132,718,342,0
./probing_benchmarks/c5315/SFLL/c5315_SFLL_178_gate_level_final.v.bench,0.781250,356,123,810,310,76,76,0.343750,13,2.078947,1.907895,0.171053,356,199,0
./probing_benchmarks/c5315/SLL/c5315_SLL.bench,5.203125,409,123,2975,956,764,764,19.250000,961,5.098168,3.840314,1.257853,409,887,0
./probing_benchmarks/des/AntiSAT/des_BA16_gate_level_final.v.bench,2.375000,624,245,5734,421,71,71,0.406250,22,1.845070,1.535211,0.309859,624,316,0
./probing_benchmarks/des/Full-Lock/des_locked_40_40_gate_level_final.v.bench,6.281250,796,245,7794,495,256,256,21.359375,306,12.214844,11.019531,1.195312,796,501,0
./probing_benchmarks/des/SFLL/des_SFLL_256_gate_level_final.v.benchfix,2.343750,512,245,5813,512,128,128,0.593750,0,2.000000,2.000000,0.000000,512,373,0
./probing_benchmarks/des/SLL/des_SLL.bench,20.984375,512,245,6341,3004,2739,2739,160.093750,4512,8.858342,7.211026,1.647317,512,2984,0
