Benchmark Path,Scan Time,PIs,POs,Total Nodes,Nodes Visited,Nodes Leaking,Added Nodes,Add Runtime,Final PIs,Final POs
./probing_benchmarks/b14/AntiSAT/alg1_2gateres.bench,17.156250,585,245,10345,1405,226,226,0.093750,585,471
./probing_benchmarks/b14/AntiSAT/alg1_post.bench,15.000000,578,245,10108,1148,210,210,0.109375,578,455
./probing_benchmarks/b14/AntiSAT/alg2_2gateres.bench,15.234375,585,245,10510,1471,201,201,0.078125,585,446
./probing_benchmarks/b14/AntiSAT/alg2_post.bench,14.359375,578,245,10332,1229,162,162,0.062500,578,407
./probing_benchmarks/b14/AntiSAT/b14_BA16_gate_level_final.v.bench,5.296875,681,245,7607,182,21,21,0.000000,681,266
./probing_benchmarks/b14/Full-Lock/alg1_2gateres.bench,34.437500,777,245,12664,1240,365,365,0.140625,777,610
./probing_benchmarks/b14/Full-Lock/alg2_2gateres.bench,31.890625,777,245,12664,1240,365,365,0.171875,777,610
./probing_benchmarks/b14/Full-Lock/b14_alg1.bench,29.843750,757,245,12164,1113,321,321,0.140625,757,566
./probing_benchmarks/b14/Full-Lock/b14_alg2.bench,31.796875,757,245,12164,1113,321,321,0.187500,757,566
./probing_benchmarks/b14/Full-Lock/b14_locked_40_40_gate_level_final.v.bench,21.640625,817,245,9715,433,203,203,0.125000,817,448
./probing_benchmarks/b14/SLL/alg2_post.bench,3.343750,280,245,7590,2,1,1,0.000000,280,246
./probing_benchmarks/b14/SLL/b14_SLL.bench,4.578125,533,245,7395,79,52,52,0.015625,533,297
./probing_benchmarks/c1908/AntiSAT/alg1_2gateres.bench,0.921875,78,25,1022,206,39,39,0.015625,78,64
./probing_benchmarks/c1908/AntiSAT/alg1_post.bench,0.875000,78,25,1022,206,39,39,0.000000,78,64
./probing_benchmarks/c1908/AntiSAT/alg2_2gateres.bench,0.921875,78,25,1022,206,39,39,0.000000,78,64
./probing_benchmarks/c1908/AntiSAT/alg2_post.bench,0.968750,78,25,1022,206,39,39,0.000000,78,64
./probing_benchmarks/c1908/AntiSAT/c1908_BA16.bench,0.796875,111,25,803,113,16,16,0.000000,111,41
./probing_benchmarks/c1908/AntiSAT/c1908_BA16_gate_level_final.v.bench,0.265625,111,25,507,55,5,5,0.000000,111,30
./probing_benchmarks/c1908/Full-Lock/alg1_2gateres.bench,6.812500,386,25,4641,908,238,238,0.046875,386,263
./probing_benchmarks/c1908/Full-Lock/alg1_32wf.bench,5.921875,369,25,4222,857,234,234,0.062500,369,259
